GIE,,Plain,,,Cipher
Image,Type,Red,Green,Blue,Red,Green,Blue
Aerial,grey,6.9939941663465035,,,7.878546107394852
Babara,grey,6.676405439042914,,,7.634061760164521
Baboon,grey,7.381242119669179,,,7.954739790911041
Boat,grey,7.191370218069244,,,7.9315356800947585
house,grey,7.236353553781332,,,7.929379009886958
Lena,grey,7.493999452630333,,,7.946250629578246
Peppers,grey,7.6377873750128655,,,7.951018672919523
Tank,grey,5.495739988888566,,,7.806021937034023
Truck,grey,6.027414821000317,,,7.959659630772925
